repo,cbo_mean_mean,cbo_mean_median,cbo_mean_std,cbo_sum_mean,cbo_sum_median,cbo_sum_std,wmc_mean_mean,wmc_mean_median,wmc_mean_std,wmc_sum_mean,wmc_sum_median,wmc_sum_std,loc_sum_mean,loc_sum_median,loc_sum_std,loc_mean_mean,loc_mean_median,loc_mean_std,fanout_sum_mean,fanout_sum_median,fanout_sum_std,fanin_sum_mean,fanin_sum_median,fanin_sum_std,loopQty_sum_mean,loopQty_sum_median,loopQty_sum_std,comparisonsQty_sum_mean,comparisonsQty_sum_median,comparisonsQty_sum_std,methodsInvokedQty_sum_mean,methodsInvokedQty_sum_median,methodsInvokedQty_sum_std,methodsInvokedLocalQty_sum_mean,methodsInvokedLocalQty_sum_median,methodsInvokedLocalQty_sum_std,methodsInvokedIndirectLocalQty_sum_mean,methodsInvokedIndirectLocalQty_sum_median,methodsInvokedIndirectLocalQty_sum_std,hasJavaDoc_ratio_mean,hasJavaDoc_ratio_median,hasJavaDoc_ratio_std,stars,releases_count,idade
ElderDrivers_EdXposed,6.268114710489758,6.268114710489758,4.155535071676072,16480.0,16480.0,11327.85063460849,10.648901959625219,10.648901959625219,11.71185603550118,17414.0,17414.0,2.8284271247461903,65915.0,65915.0,8314.161533191425,43.0997834954039,43.0997834954039,49.408623924818755,9896.0,9896.0,6725.99970264644,6584.0,6584.0,4601.850931962052,1308.0,1308.0,0.0,3680.5,3680.5,0.7071067811865476,8188.5,8188.5,11580.287755492089,1343.5,1343.5,1899.9959210482532,1762.0,1762.0,2491.8442969013936,0.316519374575119,0.316519374575119,0.44762599227798305,,,
Exrick_xmall,3.7973871213833634,3.7973871213833634,3.2939793805812267,4914.5,4914.5,4212.235095528264,10.576070628013865,10.576070628013865,13.29612121308677,6313.0,6313.0,0.0,33456.5,33456.5,16739.33883102914,73.67692793098252,73.67692793098252,98.50754143970485,2737.5,2737.5,1945.2507550441921,2177.0,2177.0,2266.9843404840713,68.0,68.0,0.0,578.0,578.0,0.0,2619.5,2619.5,3704.5324266363223,1215.5,1215.5,1718.976585064497,1191.0,1191.0,1684.3283527863562,0.0199032738095238,0.0199032738095238,0.028147479757053777,,,
FongMi_TV,5.686100399881464,5.686100399881464,4.679973807452897,9049.0,9049.0,4604.679359086797,7.926942448503113,7.926942448503113,8.733535284704555,9074.5,9074.5,10.606601717798213,27963.5,27963.5,3137.4327881247114,25.919708469256637,25.919708469256637,29.623179575400542,5338.0,5338.0,1647.5588001646556,3711.0,3711.0,2957.1205589221418,334.0,334.0,0.0,1072.5,1072.5,10.606601717798213,7550.0,7550.0,10677.312395916868,1396.5,1396.5,1974.9492398540272,1697.5,1697.5,2400.627522128329,0.0002897430944562,0.0002897430944562,0.00040975861378390676,,,
Genymobile_gnirehtet,4.849770312948608,4.849770312948608,2.237750357630985,1103.5,1103.5,823.7794000823278,6.356230261269022,6.356230261269022,6.549822718355151,890.0,890.0,0.0,4011.5,4011.5,450.4270196158308,30.30688343382142,30.30688343382142,32.73891200815399,616.0,616.0,439.8204178980326,487.5,487.5,383.9589821842953,53.0,53.0,0.0,135.0,135.0,0.0,676.5,676.5,956.7154749453988,126.5,126.5,178.89801564019652,178.0,178.0,251.7300141024109,0.0087209302325581,0.0087209302325581,0.012333257811393213,,,
Graylog2_graylog2-server,5.600135428619926,5.600135428619926,6.044443252297707,58389.0,58389.0,15887.27515969935,4.102084363975847,4.102084363975847,3.8814562694614314,48274.0,48274.0,2.8284271247461903,212874.5,212874.5,37845.06203588521,19.60988073156222,19.60988073156222,20.330845480921283,40764.5,40764.5,22499.430670574755,17624.5,17624.5,6612.1555108754055,981.0,981.0,0.0,3355.0,3355.0,1.4142135623730951,64539.0,64539.0,91271.92910199719,4888.5,4888.5,6913.382999660875,4170.0,4170.0,5897.270555095806,0.0227924634420697,0.0227924634420697,0.03223341091966792,,,
GrenderG_Toasty,4.107548701298701,4.107548701298701,0.9969516874359035,169.5,169.5,130.8147545195113,3.510146103896104,3.510146103896104,3.2560201052526656,93.0,93.0,0.0,424.0,424.0,89.09545442950498,17.562905844155843,17.562905844155843,18.20742566524419,119.0,119.0,76.36753236814714,50.5,50.5,54.44722215136416,0.0,0.0,0.0,6.0,6.0,0.0,81.5,81.5,115.25840533340725,23.0,23.0,32.526911934581186,49.5,49.5,70.0035713374682,0.0,0.0,0.0,,,
GrowingGit_GitHub-Chinese-Top-Charts,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,1.4142135623730951,4.0,4.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
HMCL-dev_HMCL,5.8808950628838765,5.8808950628838765,4.715914836685747,15567.0,15567.0,5085.51197029365,7.133602996397196,7.133602996397196,7.124903414064476,15791.0,15791.0,28.284271247461902,68163.0,68163.0,14716.306330054427,34.07927381127002,34.07927381127002,37.34223107595831,10504.5,10504.5,2652.3575362307397,5062.5,5062.5,2433.1544340629102,723.0,723.0,0.0,2694.0,2694.0,12.727922061357855,11775.5,11775.5,16653.071803724382,801.0,801.0,1132.7850634608492,822.5,822.5,1163.1906550518706,0.0317565771990433,0.0317565771990433,0.04491058216943522,,,
HannahMitt_HomeMirror,2.6514084507042255,2.6514084507042255,1.2000896779292813,243.5,243.5,17.67766952966369,2.9517712334613746,2.9517712334613746,1.5252742945440936,266.0,266.0,0.0,1509.0,1509.0,296.98484809834997,17.596670934699105,17.596670934699105,11.948384367885875,164.0,164.0,22.627416997969522,79.5,79.5,40.30508652763321,3.0,3.0,0.0,43.0,43.0,0.0,203.0,203.0,287.0853531617383,9.0,9.0,12.727922061357855,8.5,8.5,12.020815280171307,0.02112676056338025,0.02112676056338025,0.0298777513177414,,,
JSQLParser_JSqlParser,5.117339479341423,5.117339479341423,5.768548184785937,8268.0,8268.0,1093.1870837144024,7.815340594021734,7.815340594021734,9.16114950679791,11647.0,11647.0,2.8284271247461903,44738.0,44738.0,2433.8615408440965,30.972707806496572,30.972707806496572,36.81509053735943,5125.5,5125.5,194.45436482630058,3142.5,3142.5,898.7327188881019,471.0,471.0,0.0,1276.5,1276.5,2.1213203435596424,7729.0,7729.0,10930.456623581651,723.5,723.5,1023.1835123769342,762.5,762.5,1078.337841309485,0.0178017686918571,0.0178017686918571,0.02517550271825306,,,
JakeWharton_ActionBarSherlock,5.16737256465195,5.16737256465195,4.125171256232048,4952.0,4952.0,2121.3203435596424,8.027355623100306,8.027355623100306,8.413474925483866,5963.0,5963.0,7.0710678118654755,23162.0,23162.0,4668.3189693935865,34.45084458617769,34.45084458617769,38.923957487036695,3252.5,3252.5,900.146932450475,1699.5,1699.5,1221.1734111091675,223.0,223.0,0.0,1529.0,1529.0,0.0,3261.5,3261.5,4612.45753367985,413.0,413.0,584.0702012600883,576.0,576.0,814.5870119269027,0.1334147192186955,0.1334147192186955,0.18867690533927758,,,
JakeWharton_DiskLruCache,4.953088578088578,4.953088578088578,0.7586151422869657,419.0,419.0,517.6021638285528,14.452214452214452,14.452214452214452,17.273843978636407,320.0,320.0,0.0,1771.5,1771.5,234.05234457274722,86.32371794871794,86.32371794871794,106.19746651551038,216.0,216.0,250.31580054003783,203.0,203.0,267.28636328851496,30.0,30.0,0.0,55.0,55.0,0.0,312.0,312.0,441.23463146040564,64.0,64.0,90.50966799187809,66.0,66.0,93.33809511662427,0.13636363636363635,0.13636363636363635,0.1928473039599675,,,
JakeWharton_hugo,4.157467532467533,4.157467532467533,3.2118259314285065,64.0,64.0,26.870057685088806,7.534090909090909,7.534090909090909,7.729962767062031,91.0,91.0,0.0,366.0,366.0,25.45584412271571,31.383116883116877,31.383116883116877,33.19728589596583,41.0,41.0,1.4142135623730951,23.0,23.0,25.45584412271571,5.0,5.0,0.0,18.0,18.0,0.0,64.0,64.0,90.50966799187809,9.5,9.5,13.435028842544403,13.0,13.0,18.384776310850235,0.01136363636363635,0.01136363636363635,0.016070608663330606,,,
JakeWharton_u2020,4.400225934547446,4.400225934547446,4.658142170085989,817.0,817.0,302.64170234784234,4.503745036286458,4.503745036286458,3.8574064340305654,968.5,968.5,0.7071067811865476,4218.0,4218.0,831.5575746753799,21.263111050253322,21.263111050253322,20.651139233927537,576.5,576.5,364.15999231107196,240.5,240.5,61.518289963229634,31.0,31.0,0.0,191.0,191.0,0.0,684.0,684.0,967.322076663197,65.0,65.0,91.92388155425118,78.0,78.0,110.30865786510141,0.0513761467889908,0.0513761467889908,0.07265684357146172,,,
JanusGraph_janusgraph,6.009413434101643,6.009413434101643,5.058015458474041,23200.5,23200.5,7107.13025770599,6.727821779963733,6.727821779963733,6.845099387390649,21916.5,21916.5,23.33452377915607,95854.5,95854.5,11895.65737990129,31.2647531125508,31.2647531125508,33.55626554929706,14558.5,14558.5,2083.8436841567554,8642.0,8642.0,5023.286573549233,1854.0,1854.0,1.4142135623730951,2993.5,2993.5,6.363961030678928,20688.0,20688.0,29257.25017837459,1858.5,1858.5,2628.315905670397,1985.0,1985.0,2807.213921310594,0.0499913807964144,0.0499913807964144,0.07069848872404715,,,
Jasonchenlijian_FastBle,5.01295862607338,5.01295862607338,2.419508542776639,1058.0,1058.0,497.80317395532944,5.16752537080406,5.16752537080406,4.423253754101517,871.0,871.0,0.0,4207.0,4207.0,715.5920625607861,26.77658079625293,26.77658079625293,25.610182183621063,669.5,669.5,296.2777413171634,388.5,388.5,201.52543263816605,33.0,33.0,0.0,212.0,212.0,0.0,554.0,554.0,783.4743135546946,58.5,58.5,82.73149339882606,59.5,59.5,84.14570696119915,0.0714285714285714,0.0714285714285714,0.10101525445522103,,,
Javen205_IJPay,4.56005031005031,4.56005031005031,3.5179534460050275,2649.0,2649.0,1025.304832720494,5.504826254826255,5.504826254826255,5.549013640006401,2574.0,2574.0,0.0,12752.5,12752.5,1956.564463543177,29.38181750681751,29.38181750681751,31.67612427053386,1665.0,1665.0,172.5340546095176,984.0,984.0,852.7707781109763,76.0,76.0,0.0,189.0,189.0,0.0,3110.0,3110.0,4398.204178980325,347.5,347.5,491.4392129246505,476.0,476.0,673.1656556895932,0.2417076167076167,0.2417076167076167,0.34182618967678924,,,
JesusFreke_smali,5.68342909837174,5.68342909837174,4.536887557209651,11477.0,11477.0,1745.1395359683993,5.3272725812777235,5.3272725812777235,4.7729486591875,10025.0,10025.0,0.0,42594.0,42594.0,5894.4421279710605,24.037584354376282,24.037584354376282,23.411498765057445,7500.0,7500.0,944.6946596652275,3977.0,3977.0,800.4448763031718,568.0,568.0,0.0,1375.0,1375.0,0.0,4939.0,4939.0,6984.800784560716,520.5,520.5,736.098159215196,740.5,740.5,1047.2251429372768,0.03729308666017525,0.03729308666017525,0.052740388937574996,,,
KeepSafe_TapTargetView,3.542420814479638,3.542420814479638,2.8953516353336046,261.5,261.5,61.518289963229634,6.001696832579185,6.001696832579185,5.763240224489903,393.0,393.0,0.0,1766.0,1766.0,281.4284989122459,29.032993966817497,29.032993966817497,30.195752587705627,175.0,175.0,1.4142135623730951,86.5,86.5,62.932503525602726,7.0,7.0,0.0,86.0,86.0,0.0,208.5,208.5,294.8635277547903,23.5,23.5,33.23401871576773,26.0,26.0,36.76955262170047,0.196078431372549,0.196078431372549,0.27729677693590093,,,
